SampNo.	SampSec	Day	Hour	Minute	Second
2.8135e+06	351.69	21	22	31	32
2.8216e+06	352.7	21	19	15	33
2.8297e+06	353.71	21	19	15	34
2.8378e+06	354.72	21	19	15	35
2.8459e+06	355.73	21	19	15	36
2.854e+06	356.74	21	19	15	37
2.862e+06	357.76	21	19	15	38
2.8701e+06	358.77	21	19	15	39
2.8782e+06	359.78	21	19	15	40
2.8863e+06	360.79	21	19	15	41
2.8944e+06	361.8	21	19	15	42
2.9025e+06	362.81	21	19	15	43
2.9106e+06	363.82	21	19	15	44
2.9187e+06	364.83	21	19	15	45
2.9268e+06	365.84	21	19	15	46
2.9348e+06	366.86	21	19	15	47
2.9429e+06	367.87	21	19	15	48
2.951e+06	368.88	21	19	15	49
2.9591e+06	369.89	21	19	15	50
2.9672e+06	370.9	21	19	15	51
2.9753e+06	371.91	21	19	15	52
2.9834e+06	372.92	21	19	15	53
2.9915e+06	373.93	21	19	15	54
2.9995e+06	374.94	21	19	15	55
3.0076e+06	375.95	21	19	15	56
3.0157e+06	376.97	21	19	15	57
3.0238e+06	377.98	21	19	15	58
3.0319e+06	378.99	21	19	15	59
3.04e+06	380	21	19	16	0
3.0481e+06	381.01	21	19	16	1
3.0562e+06	382.02	21	19	16	2
3.0643e+06	383.03	21	19	16	3
3.0724e+06	384.04	21	19	16	4
3.0804e+06	385.05	21	19	16	5
3.0885e+06	386.07	21	19	16	6
3.0966e+06	387.08	21	19	16	7
3.1047e+06	388.09	21	19	16	8
3.1128e+06	389.1	21	19	16	9
3.1209e+06	390.11	21	19	16	10
3.129e+06	391.12	21	19	16	11
3.137e+06	392.13	21	19	16	12
3.1451e+06	393.14	21	19	16	13
3.1532e+06	394.15	21	19	16	14
3.1613e+06	395.16	21	19	16	15
3.1694e+06	396.17	21	19	16	16
3.1775e+06	397.19	21	19	16	17
3.1856e+06	398.2	21	19	16	18
3.1937e+06	399.21	21	19	16	19
3.2017e+06	400.22	21	19	16	20
3.2098e+06	401.23	21	19	16	21
3.2179e+06	402.24	21	19	16	22
3.226e+06	403.25	21	19	16	23
3.2341e+06	404.26	21	19	16	24
3.2422e+06	405.27	21	19	16	25
3.2503e+06	406.29	21	19	16	26
3.2584e+06	407.3	21	19	16	27
3.2665e+06	408.31	21	19	16	28
3.2745e+06	409.32	21	19	16	29
3.2826e+06	410.33	21	19	16	30
3.2907e+06	411.34	21	19	16	31
3.2988e+06	412.35	21	19	16	32
3.3069e+06	413.36	21	22	22	33
3.315e+06	414.37	21	19	16	34
3.3231e+06	415.38	21	19	16	35
3.3312e+06	416.4	21	19	16	36
3.3393e+06	417.41	21	19	16	37
3.3473e+06	418.42	21	19	16	38
3.3554e+06	419.43	21	19	16	39
3.3635e+06	420.44	21	19	16	40
3.3716e+06	421.45	21	19	16	41
3.3797e+06	422.46	21	19	16	42
3.3878e+06	423.48	21	19	16	43
3.3959e+06	424.49	21	19	16	44
3.404e+06	425.5	21	19	16	45
3.4121e+06	426.51	21	19	16	46
3.4202e+06	427.52	21	19	16	47
3.4283e+06	428.53	21	19	16	48
3.4363e+06	429.54	21	19	16	49
3.4444e+06	430.55	21	19	16	50
3.4525e+06	431.56	21	19	16	51
3.4606e+06	432.58	21	19	16	52
3.4687e+06	433.59	21	19	16	53
3.4768e+06	434.6	21	19	16	54
3.4849e+06	435.61	21	19	16	55
3.493e+06	436.62	21	19	16	56
3.5011e+06	437.63	21	19	16	57
3.5091e+06	438.64	21	19	16	58
3.5172e+06	439.66	21	19	16	59
3.5253e+06	440.67	21	19	17	0
3.5334e+06	441.68	21	19	17	1
3.5415e+06	442.69	21	19	17	2
3.5496e+06	443.7	21	19	17	3
3.5577e+06	444.71	21	19	17	4
3.5658e+06	445.72	21	19	17	5
3.5739e+06	446.73	21	19	17	6
3.582e+06	447.74	21	19	17	7
3.59e+06	448.76	21	19	17	8
3.5981e+06	449.77	21	19	17	9
3.6062e+06	450.78	21	19	17	10
3.6143e+06	451.79	21	19	17	11
3.6224e+06	452.8	21	19	17	12
3.6305e+06	453.81	21	19	17	13
3.6386e+06	454.82	21	19	17	14
3.6467e+06	455.83	21	19	17	15
3.6548e+06	456.84	21	19	17	16
3.6628e+06	457.86	21	19	17	17
3.6709e+06	458.87	21	19	17	18
3.679e+06	459.88	21	19	17	19
3.6871e+06	460.89	21	19	17	20
3.6952e+06	461.9	21	19	17	21
3.7033e+06	462.91	21	19	17	22
3.7114e+06	463.92	21	19	17	23
3.7195e+06	464.93	21	19	17	24
3.7275e+06	465.94	21	17	33	25
3.7356e+06	466.95	21	19	17	26
3.7437e+06	467.97	21	19	17	27
3.7518e+06	468.98	21	19	17	28
3.7599e+06	469.99	21	19	17	29
3.768e+06	471	21	19	17	30
3.7761e+06	472.01	21	19	17	31
3.7842e+06	473.02	21	19	17	32
3.7923e+06	474.03	21	19	17	33
3.8004e+06	475.05	21	19	17	34
3.8085e+06	476.06	21	19	17	35
3.8166e+06	477.07	21	19	17	36
3.8246e+06	478.08	21	19	17	37
3.8327e+06	479.09	21	19	17	38
3.8408e+06	480.1	21	19	17	39
3.8489e+06	481.11	21	19	17	40
3.857e+06	482.13	21	19	17	41
3.8651e+06	483.14	21	19	17	42
3.8732e+06	484.15	21	19	17	43
3.8813e+06	485.16	21	19	17	44
3.8894e+06	486.17	21	19	17	45
3.8974e+06	487.18	21	19	17	46
3.9055e+06	488.19	21	19	17	47
3.9136e+06	489.2	21	19	17	48
3.9217e+06	490.21	21	19	17	49
3.9298e+06	491.22	21	19	17	50
3.9379e+06	492.24	21	19	17	51
3.946e+06	493.25	21	19	17	52
3.9541e+06	494.26	21	19	17	53
3.9622e+06	495.27	21	19	17	54
3.9702e+06	496.28	21	19	17	55
3.9783e+06	497.29	21	19	17	56
3.9864e+06	498.3	21	19	17	57
3.9945e+06	499.31	21	19	17	58
4.0026e+06	500.32	21	19	17	59
4.0107e+06	501.33	21	19	18	0
4.0188e+06	502.35	21	19	18	1
4.0269e+06	503.36	21	19	18	2
4.0349e+06	504.37	21	19	18	3
4.043e+06	505.38	21	19	18	4
4.0511e+06	506.39	21	19	18	5
4.0592e+06	507.4	21	19	18	6
4.0673e+06	508.42	21	19	18	7
4.0754e+06	509.43	21	19	18	8
4.0835e+06	510.44	21	19	18	9
4.0916e+06	511.45	21	19	18	10
4.0997e+06	512.46	21	19	18	11
4.1078e+06	513.47	21	19	18	12
4.1159e+06	514.48	21	19	18	13
4.1239e+06	515.49	21	19	18	14
4.132e+06	516.5	21	19	18	15
4.1401e+06	517.51	21	19	18	16
4.1482e+06	518.52	21	19	18	17
4.1563e+06	519.54	21	19	18	18
4.1644e+06	520.55	21	19	18	19
4.1725e+06	521.56	21	19	18	20
4.1805e+06	522.57	21	19	18	21
4.1886e+06	523.58	21	19	18	22
4.1967e+06	524.59	21	19	18	23
4.2048e+06	525.6	21	19	18	24
4.2129e+06	526.61	21	19	18	25
4.221e+06	527.62	21	19	18	26
4.2291e+06	528.64	21	19	18	27
4.2372e+06	529.65	21	19	18	28
4.2453e+06	530.66	21	19	18	29
4.2534e+06	531.67	21	19	18	30
4.2614e+06	532.68	21	19	18	31
4.2695e+06	533.69	21	19	18	32
4.2776e+06	534.7	21	19	18	33
4.2857e+06	535.71	21	19	18	34
4.2938e+06	536.73	21	19	18	35
4.3019e+06	537.74	21	19	18	36
4.31e+06	538.75	21	19	18	37
4.3181e+06	539.76	21	19	18	38
4.3262e+06	540.77	21	19	18	39
4.3343e+06	541.78	21	19	18	40
4.3424e+06	542.8	21	19	18	41
4.3505e+06	543.81	21	19	18	42
4.3585e+06	544.82	21	19	18	43
4.3666e+06	545.83	21	19	18	44
4.3747e+06	546.84	21	19	18	45
4.3828e+06	547.85	21	19	18	46
4.3909e+06	548.86	21	19	18	47
4.399e+06	549.88	21	19	18	48
4.4071e+06	550.89	21	19	18	49
4.4152e+06	551.9	21	19	18	50
4.4233e+06	552.91	21	19	18	51
4.4314e+06	553.92	21	19	18	52
4.4395e+06	554.93	21	19	18	53
4.4476e+06	555.94	21	19	18	54
4.4556e+06	556.96	21	19	18	55
4.4637e+06	557.97	21	19	18	56
4.4718e+06	558.98	21	19	18	57
4.4799e+06	559.99	21	19	18	58
4.488e+06	561	21	19	18	59
4.4961e+06	562.01	21	19	19	0
4.5042e+06	563.02	21	19	19	1
4.5123e+06	564.04	21	19	19	2
4.5204e+06	565.05	21	19	19	3
4.5285e+06	566.06	21	19	19	4
4.5365e+06	567.07	21	19	19	5
4.5446e+06	568.08	21	19	19	6
4.5527e+06	569.09	21	19	19	7
4.5608e+06	570.1	21	19	19	8
4.5689e+06	571.12	21	19	19	9
4.577e+06	572.13	21	19	19	10
4.5851e+06	573.14	21	19	19	11
4.5932e+06	574.15	21	19	19	12
4.6013e+06	575.16	21	19	19	13
4.6094e+06	576.17	21	19	19	14
4.6175e+06	577.18	21	19	19	15
4.6255e+06	578.19	21	19	19	16
4.6336e+06	579.21	21	19	19	17
4.6417e+06	580.22	21	19	19	18
4.6498e+06	581.23	21	19	19	19
4.6579e+06	582.24	21	19	19	20
4.666e+06	583.25	21	19	19	21
4.6741e+06	584.26	21	19	19	22
4.6822e+06	585.27	21	19	19	23
4.6903e+06	586.28	21	19	19	24
4.6984e+06	587.29	21	19	19	25
4.7065e+06	588.31	21	22	21	26
4.7145e+06	589.32	21	19	19	27
4.7226e+06	590.33	21	19	19	28
4.7307e+06	591.34	21	19	19	29
4.7388e+06	592.35	21	19	19	30
4.7469e+06	593.36	21	19	19	31
4.755e+06	594.37	21	19	19	32
4.7631e+06	595.38	21	19	19	33
4.7712e+06	596.4	21	19	19	34
4.7793e+06	597.41	21	19	19	35
4.7874e+06	598.42	21	19	19	36
4.7955e+06	599.43	21	19	19	37
4.8035e+06	600.44	21	19	19	38
4.8116e+06	601.45	21	19	19	39
4.8197e+06	602.47	21	19	19	40
4.8278e+06	603.48	21	19	19	41
4.8359e+06	604.49	21	19	19	42
4.844e+06	605.5	21	19	19	43
4.8521e+06	606.51	21	19	19	44
4.8602e+06	607.52	21	19	19	45
4.8683e+06	608.53	21	19	19	46
4.8763e+06	609.54	21	19	19	47
4.8844e+06	610.56	21	19	19	48
4.8925e+06	611.57	21	19	19	49
4.9006e+06	612.58	21	19	19	50
4.9087e+06	613.59	21	19	19	51
4.9168e+06	614.6	21	19	19	52
4.9249e+06	615.61	21	19	19	53
4.933e+06	616.63	21	19	19	54
4.9411e+06	617.64	21	19	19	55
4.9492e+06	618.65	21	19	19	56
4.9573e+06	619.66	21	19	19	57
4.9654e+06	620.67	21	19	19	58
4.9735e+06	621.68	21	19	19	59
4.9815e+06	622.69	21	19	20	0
4.9896e+06	623.7	21	19	20	1
4.9977e+06	624.72	21	19	20	2
